diver,nationality,gender,first_compet,last_compet,nb_compet,nb_bo,nb_bo_cwt,nb_bo_cwtb,nb_bo_cnf,nb_bo_fim,nb_red,nb_dives,%_bo,%_bo_cwt,%_bo_cwtb,%_bo_cnf,%_bo_fim
Hua Yang Huang ,TPE,M,2019-10-15,2023-01-14,10,1,1,0,0,0,1,24,4.166666666666667,4.166666666666667,0.0,0.0,0.0
Hyemin Kim ,KOR,F,2017-10-24,2021-10-31,15,2,1,0,1,0,3,38,5.2631578947368425,2.6315789473684212,0.0,2.6315789473684212,0.0
Hyunho Seong ,KOR,M,2016-11-03,2021-11-16,11,3,2,0,0,1,3,21,14.285714285714286,9.523809523809524,0.0,0.0,4.761904761904762
Ilya Nabatov ,INT,M,2017-07-27,2023-05-22,6,1,0,0,1,0,2,21,4.761904761904762,0.0,0.0,4.761904761904762,0.0
Inge Verbruggen ,BEL,F,2016-11-03,2021-09-25,14,0,0,0,0,0,2,33,0.0,0.0,0.0,0.0,0.0
Irena Vanova ,CZE,F,2021-05-11,2022-08-09,6,0,0,0,0,0,2,26,0.0,0.0,0.0,0.0,0.0
Iru Balic ,VEN,F,2016-05-26,2022-05-23,17,2,0,0,2,0,5,52,3.8461538461538463,0.0,0.0,3.8461538461538463,0.0
Isabel Sanchez Aran ,ESP,F,2016-10-02,2022-08-10,6,0,0,0,0,0,1,14,0.0,0.0,0.0,0.0,0.0
Iwan Gojnik ,CHE,M,2016-09-24,2022-08-20,8,0,0,0,0,0,2,13,0.0,0.0,0.0,0.0,0.0
Jaekwan Kim ,KOR,M,2019-06-09,2023-05-17,8,0,0,0,0,0,1,21,0.0,0.0,0.0,0.0,0.0
Jaeyoung Kim ,KOR,M,2016-01-30,2022-10-21,9,0,0,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0
Jakob Hansen ,DNK,M,2010-07-06,2023-02-16,15,0,0,0,0,0,2,32,0.0,0.0,0.0,0.0,0.0
Jakov Misurac ,HRV,M,2020-09-09,2023-07-02,7,0,0,0,0,0,1,14,0.0,0.0,0.0,0.0,0.0
Jana Strain ,CAN,F,2009-09-06,2021-08-29,7,0,0,0,0,0,1,19,0.0,0.0,0.0,0.0,0.0
Jarmila Slovenčíková ,CZE,F,2010-07-06,2022-08-23,15,4,0,1,2,1,4,38,10.526315789473685,0.0,2.6315789473684212,5.2631578947368425,2.6315789473684212
Jay Ku ,TPE,M,2017-08-26,2023-04-04,7,0,0,0,0,0,4,22,0.0,0.0,0.0,0.0,0.0
Jennifer Wendland ,DEU,F,2017-05-30,2023-05-22,15,3,0,1,1,1,3,49,6.122448979591836,0.0,2.0408163265306123,2.0408163265306123,2.0408163265306123
Jens Stoetzner ,DEU,M,2016-09-13,2022-08-20,23,4,3,0,0,1,9,68,5.882352941176471,4.411764705882353,0.0,0.0,1.4705882352941178
Jeongmin Park ,KOR,M,2016-09-22,2021-10-31,13,1,0,0,0,1,2,28,3.5714285714285716,0.0,0.0,0.0,3.5714285714285716
Jeongseon Kim ,KOR,F,2016-04-30,2021-09-17,9,0,0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0
Jessea Wenjie Lu ,CHN,F,2016-04-23,2022-08-11,14,2,0,0,1,1,3,40,5.0,0.0,0.0,2.5,2.5
Jie Dong ,CHN,F,2017-06-03,2023-04-04,13,0,0,0,0,0,6,40,0.0,0.0,0.0,0.0,0.0
Jihoon Jang ,KOR,M,2017-05-23,2022-09-17,27,1,1,0,0,0,2,73,1.36986301369863,1.36986301369863,0.0,0.0,0.0
Jin ,Sendoh) Wang (CHN,M,2016-09-23,2023-07-10,16,1,0,0,0,1,3,43,2.3255813953488373,0.0,0.0,0.0,2.3255813953488373
Jindřiška Zajacová ,CZE,F,2019-10-13,2023-08-14,7,0,0,0,0,0,1,24,0.0,0.0,0.0,0.0,0.0
Jinyi Zhu ,CHN,M,2018-06-08,2022-07-07,7,0,0,0,0,0,1,15,0.0,0.0,0.0,0.0,0.0
Jiseon Park ,KOR,F,2021-06-19,2023-05-07,6,0,0,0,0,0,3,12,0.0,0.0,0.0,0.0,0.0
John Muñoz ,COL,M,2018-05-03,2022-09-07,11,3,0,0,0,3,4,33,9.090909090909092,0.0,0.0,0.0,9.090909090909092
Juan Carlos Restrepo Carvajal ,COL,M,2015-06-06,2023-05-07,8,1,1,0,0,0,2,28,3.5714285714285716,3.5714285714285716,0.0,0.0,0.0
Juan M Valdivia ,PER,M,2017-08-23,2022-08-10,6,3,0,0,0,3,3,20,15.0,0.0,0.0,0.0,15.0
Jung A Kim ,KOR,F,2017-06-03,2023-07-10,25,0,0,0,0,0,1,64,0.0,0.0,0.0,0.0,0.0
Junichi Kawanami ,JPN,M,2013-10-30,2023-06-13,6,2,0,1,1,0,3,14,14.285714285714286,0.0,7.142857142857143,7.142857142857143,0.0
Junko Kitahama ,JPN,F,2009-09-26,2022-08-11,26,3,0,0,2,1,8,73,4.109589041095891,0.0,0.0,2.73972602739726,1.36986301369863
Kazuo Aoyama ,JPN,M,2016-10-10,2022-09-25,12,0,0,0,0,0,1,13,0.0,0.0,0.0,0.0,0.0
Ken Kiriyama ,JPN,M,2016-04-23,2023-06-17,37,8,1,0,7,0,20,109,7.339449541284404,0.9174311926605505,0.0,6.422018348623853,0.0
Komtanoo Pinpimai ,THA,M,2016-11-07,2023-07-10,12,0,0,0,0,0,7,35,0.0,0.0,0.0,0.0,0.0
Kristian Mäki-Jussila ,FIN,M,2016-08-21,2021-09-17,7,0,0,0,0,0,1,13,0.0,0.0,0.0,0.0,0.0
Kristin Kuba ,USA,F,2017-08-19,2022-05-24,8,2,1,0,1,0,3,23,8.695652173913043,4.3478260869565215,0.0,4.3478260869565215,0.0
Kurt Chambers ,USA,M,2016-05-26,2023-07-10,21,5,0,0,3,2,9,59,8.474576271186441,0.0,0.0,5.084745762711864,3.389830508474576
